id: 850780101973336068 ,[u'Chevy Colorado can double as a family car https://t.co/11PS4dSWEU https://t.co/560RpFsP2Q', 19606]
id: 850751539950039040 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year https://t.co/zEBdOQJq2d', 30]
id: 850817522022707202 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year https://t.co/hh1C6rOBeN', 824]
id: 850828541000396800 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year | get ready for lawsuits https://t.co/o4LfirzWX2', 1]
id: 850753774859812864 ,[u'Chevrolet lance une concours universitaire pour d\xe9velopper une voiture autonome - https://t.co/mLYQpmWq3a https://t.co/5jh4mKtJOQ', 414]
id: 850777976585072640 ,[u'L-3513-A :: San Antonio Light Photographs https://t.co/Zvh8O9lWnZ\n\nGeneral Motors (GM) and Pullman-Standard\nThe Train of Tomorrow', 175]
id: 850802181204828160 ,[u'Tesla Passes Ford in Market Value as Investors Bet on the Future https://t.co/60pLWwCIaA', 1654]
id: 850782405627719681 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year https://t.co/hibvlSEiHL', 161]
id: 850745052477489152 ,[u'General Motors Predicts Strong Sales #AutomotiveNews https://t.co/KtF8Vezfs4 https://t.co/KsVbGquTs7', 12744]
id: 850745054847275012 ,[u'COMING UP at 9:26a w/@eppman: The stock market value of Tesla catches much-larger rivals Ford and General Motors. #MoneyNews', 188713]
id: 850751675522584576 ,[u'"#GeneralMotors Is Betting $600 Million on #SelfDriving This Year" https://t.co/naZE690BJ4 #AutonomousCars #Tech #autotech #SelfDrivingCars', 14285]
id: 850747306227900416 ,[u'I just checked in at GMC (General Motors Company) with #mPLUSPlaces Download today!  https://t.co/ZJyBDyBmTD', 54]
id: 850808874110210053 ,[u'The General Motors Company is named for General Ulysses S. Motors, who drove a Yukon during the American Civil War.', 130]
id: 850791307815653376 ,[u'RT @PrensaIzquierda: "El gran fraude del chavismo fue hablar de socialismo mientras subsidiaba a transnacionales como General Motors " @gui\u2026', 589]
id: 850744960848715777 ,[u'How many of y\'all that knew me in college saw "a spokesman for the college of engineering" coming? https://t.co/ygNomYXMEH', 4777]
id: 850804696348585986 ,[u"@GM Approaching #DriverlessCars 'Like a #SiliconValley Startup' https://t.co/KFhLZPLMcX - #SelfDriving #Autonomous - https://t.co/XBdIl1f9e4", 364]
id: 850817759063789568 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 65]
id: 850830957829599232 ,[u'https://t.co/o9OdP6vLrS', 721]
id: 850793595544227840 ,[u'I just checked in at GMC (General Motors Company) with #mPLUSPlaces Download today!  https://t.co/mN4byVsgY9', 26]
id: 850754036202700801 ,[u'@bslcoyoacan @Elmatachairos @gavoyito @Antizombies @expressopizzeta @FaSoundSystem @elenavilla18 @Kalinc2809\u2026 https://t.co/bVzrbNcEPO', 3678]
