id: 851281478973444098 ,[u'\u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435', 511]
id: 851283712633315329 ,[u'Der Preis f\xfcr einen gebrauchten Tesla Model 3 ist \xfcberraschend https://t.co/sWSHzL3Tik by @FinanzenNet', 3211]
id: 851281529208676352 ,[u'\u305d\u308d\u305d\u308d\u91e3\u308a\u306b\u884c\u304d\u305f\u3044\u306a\uff1f', 97]
id: 851283743771840513 ,[u'Call in the red team: why investors who think Tesla is worth more than Ford should think again\u2026 https://t.co/RbGazz8BnI', 556]
id: 851283755536859136 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f https://t.co/W6Zode6vDv', 1061]
id: 851283758846156805 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f', 519]
id: 851281868355915776 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f', 889]
id: 851283799144935424 ,[u'Call in the red team: why investors who think Tesla is worth more than Ford should think again\u2026 https://t.co/qO7td0dHAr', 6920]
id: 851281597160607746 ,[u"RT @PDChina: #Tesla is planning to build a wholly-owned factory in China's Guangdong &amp; the project is waiting for gov't approval: local med\u2026", 20]
id: 851283813862854656 ,[u'Boston Power Founder Christina Lampe-\xd6nnerud\u2019s New Battery Promises to Improve Tesla Range 70% - https://t.co/pIFuCu0Qe9', 2715]
id: 851281870805270530 ,[u'- \u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435', 31086]
id: 851281620698976261 ,[u'RT @mitchgrassi: literally moaning every time I pass a Tesla on the road', 3948]
id: 851281657831211009 ,[u'En medio de la pobreza y el olvido, as\xed fueron los \xfaltimos d\xedas de Nikola Tesla https://t.co/V4yYi0Kw65', 42257]
id: 851281657852084227 ,[u'Tesla wins April fools\nhttps://t.co/WtT0HNS9aL', 201]
id: 851281678144163840 ,[u'Tesla Will Take Orders for Its Solar Roof in April https://t.co/9LaVMQdShK', 223]
id: 851281698369134592 ,[u'RT @TeslaMotors: Model S or Model 3: Which Tesla is right for you https://t.co/kxwSZKQKRe', 1221]
id: 851281701879783432 ,[u'RT @Natu2509: Contactar a Tesla Camejo 0414 2 846883. Sr Carlos Rond\xf3n est\xe1 extraviado Av R\xedo d Janeiro altura Caurimare Colinas d Los Ruic\u2026', 601]
id: 851281849938657280 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f', 896]
id: 851281181727268864 ,[u'RT @SteveCase: "The present is theirs; the future, for which I really worked, is mine" #Tesla https://t.co/lqFwbyRjCN #BeFearless https://t\u2026', 407]
